년도	월	도로명	평일 평균 교통량(대표구간)	평일 평균 속도	월요일 소통상황	화요일 소통상황	수요일 소통상황	목요일 소통상황	금요일 소통상황	토요일 소통상황	일요일 소통상황(공휴일포함)
2014	12	동부간선도로	151936	52.5	54	52.6	52.5	53	50.2	50.8	64
2014	12	내부순환로	167944	60.3	61.8	61.8	60.2	59.5	57.5	58.4	71.4
2014	12	분당수서로	134223	59.2	61.3	60.6	58.6	56.9	57.7	60.9	75.9
2014	12	경부고속도로	205909	42.3	45	42.2	41.9	41.8	39.6	43	55.9
2014	12	올림픽대로	253840	56.6	60.1	57.3	55.7	55.9	53.2	56.1	69.3
2014	12	서부간선도로	115414	36.1	37.4	36.8	35.2	37.3	33.8	38.2	52
2014	12	북부간선도로	108670	60	60	60.9	59.3	63.4	57.3	55.3	69.3
2014	12	강변북로	256674	52.8	56.6	53.4	52	52.3	48.4	52	66.3
2014	11	내부순환로	170473	60.5	64	59.4	62.4	61.9	54.9	54.6	67.1
2014	11	강변북로	263841	53.4	58.3	53.7	54.9	54.2	45.9	48.9	63.1
2014	11	북부간선도로	113668	59.7	63.8	61	61.1	59.9	52.5	45.8	63.6
2014	11	올림픽대로	257944	56.1	60.1	55.9	57.3	57.1	50.3	52.4	65
2014	11	동부간선도로	156895	52.3	54.6	52.7	52.6	52.5	49.1	45.3	59.2
2014	11	분당수서로	140564	57.1	62.2	57.6	56.9	57.1	51.6	57.3	70.5
2014	11	경부고속도로	215616	41.2	45.5	41.5	41.2	41	36.8	38	50.3
2014	11	서부간선도로	117649	35.2	38	37	36.7	35.4	28.6	33	48.4
2014	10	내부순환로	169530	59.8	62.6	59.7	60.7	58.8	57	58.7	69.3
2014	10	강변북로	263670	52.3	56.6	51.4	52.6	50.3	50.8	48.8	60.4
2014	10	북부간선도로	113624	55.9	58.4	55.4	57.4	54.9	53.1	45.7	57.6
2014	10	올림픽대로	258600	54.6	57.6	54.1	55.1	52.7	53.5	53.2	63.6
2014	10	동부간선도로	155718	52.4	53.5	51.9	53.3	52.1	51.3	48.6	59.3
2014	10	분당수서로	139781	58.2	61.2	56.2	57.6	57.3	58.8	62.2	72.5
2014	10	경부고속도로	216924	41.6	46.2	40.8	41.6	39.3	40.1	42.1	51.7
2014	10	서부간선도로	114810	34.3	37.1	33.6	34.8	32.9	33.1	31.8	43.7
2014	9	내부순환로	168287	60.5	63.3	59.8	60.2	60.1	58.9	60.9	69
2014	9	강변북로	260689	51.9	54.7	50.7	50.9	53	49.9	55	66.3
2014	9	북부간선도로	113524	57.5	57.6	58	58	59.6	54.4	54.2	62.4
2014	9	올림픽대로	259330	54.9	56.7	54	53.7	56	53.7	58.3	67.9
2014	9	동부간선도로	155031	51.4	52.1	51.2	50.6	52.7	50.1	49.6	60.8
2014	9	분당수서로	138990	56.6	60	56.2	54.9	57.1	54.6	64	74.9
2014	9	경부고속도로	215821	42.1	44.3	40.9	40.9	42.2	41.7	48.4	59
2014	9	서부간선도로	118150	34.6	35	34.5	34.2	36.2	33.3	38.3	49.1
2014	8	내부순환로	167187	58.8	63.6	60.4	57.2	56.7	56	64.1	71.1
2014	8	강변북로	259042	50.6	56.4	52.8	48	48.2	47.4	57.1	65.1
2014	8	북부간선도로	113557	53.8	58	55.5	52.9	52.8	49.8	49.9	59.6
2014	8	올림픽대로	255976	52.9	57.6	54.2	50.2	51.2	51.1	58.1	63.9
2014	8	동부간선도로	154078	52.5	55.9	53	51.4	50.5	51.7	51.5	61.9
2014	8	분당수서로	137592	59.5	65.6	61.1	57	55.7	58.2	68.4	74.4
