"년도","월","도로명","평일 평균 교통량(대표구간)","평일 평균 속도","월요일 소통상황","화요일 소통상황","수요일 소통상황","목요일 소통상황","금요일 소통상황","토요일 소통상황","일요일 소통상황(공휴일포함)"
"2014","12","동부간선도로","151936","52.50","54.00","52.60","52.50","53.00","50.20","50.80","64.00"
"2014","12","내부순환로","167944","60.30","61.80","61.80","60.20","59.50","57.50","58.40","71.40"
"2014","12","분당수서로","134223","59.20","61.30","60.60","58.60","56.90","57.70","60.90","75.90"
"2014","12","경부고속도로","205909","42.30","45.00","42.20","41.90","41.80","39.60","43.00","55.90"
"2014","12","올림픽대로","253840","56.60","60.10","57.30","55.70","55.90","53.20","56.10","69.30"
"2014","12","서부간선도로","115414","36.10","37.40","36.80","35.20","37.30","33.80","38.20","52.00"
"2014","12","북부간선도로","108670","60.00","60.00","60.90","59.30","63.40","57.30","55.30","69.30"
"2014","12","강변북로","256674","52.80","56.60","53.40","52.00","52.30","48.40","52.00","66.30"
"2014","11","내부순환로","170473","60.50","64.00","59.40","62.40","61.90","54.90","54.60","67.10"
"2014","11","강변북로","263841","53.40","58.30","53.70","54.90","54.20","45.90","48.90","63.10"
"2014","11","북부간선도로","113668","59.70","63.80","61.00","61.10","59.90","52.50","45.80","63.60"
"2014","11","올림픽대로","257944","56.10","60.10","55.90","57.30","57.10","50.30","52.40","65.00"
"2014","11","동부간선도로","156895","52.30","54.60","52.70","52.60","52.50","49.10","45.30","59.20"
"2014","11","분당수서로","140564","57.10","62.20","57.60","56.90","57.10","51.60","57.30","70.50"
"2014","11","경부고속도로","215616","41.20","45.50","41.50","41.20","41.00","36.80","38.00","50.30"
"2014","11","서부간선도로","117649","35.20","38.00","37.00","36.70","35.40","28.60","33.00","48.40"
"2014","10","내부순환로","169530","59.80","62.60","59.70","60.70","58.80","57.00","58.70","69.30"
"2014","10","강변북로","263670","52.30","56.60","51.40","52.60","50.30","50.80","48.80","60.40"
"2014","10","북부간선도로","113624","55.90","58.40","55.40","57.40","54.90","53.10","45.70","57.60"
"2014","10","올림픽대로","258600","54.60","57.60","54.10","55.10","52.70","53.50","53.20","63.60"
"2014","10","동부간선도로","155718","52.40","53.50","51.90","53.30","52.10","51.30","48.60","59.30"
"2014","10","분당수서로","139781","58.20","61.20","56.20","57.60","57.30","58.80","62.20","72.50"
"2014","10","경부고속도로","216924","41.60","46.20","40.80","41.60","39.30","40.10","42.10","51.70"
"2014","10","서부간선도로","114810","34.30","37.10","33.60","34.80","32.90","33.10","31.80","43.70"
"2014","9","내부순환로","168287","60.50","63.30","59.80","60.20","60.10","58.90","60.90","69.00"
"2014","9","강변북로","260689","51.90","54.70","50.70","50.90","53.00","49.90","55.00","66.30"
"2014","9","북부간선도로","113524","57.50","57.60","58.00","58.00","59.60","54.40","54.20","62.40"
"2014","9","올림픽대로","259330","54.90","56.70","54.00","53.70","56.00","53.70","58.30","67.90"
"2014","9","동부간선도로","155031","51.40","52.10","51.20","50.60","52.70","50.10","49.60","60.80"
